2026-08-04 15:55:43,514 | INFO | MainThread | epoch 59 dev metrics: st1_macro_f1=0.616, st2_macro_f1=0.588, st3_macro_f1=0.414, st3_family_macro_f1=0.571, mean_macro_f1=0.539
2026-08-04 15:57:26,316 | INFO | MainThread | epoch 60: mean train loss = 0.1563
2026-08-04 15:57:36,359 | INFO | MainThread | epoch 60 dev metrics: st1_macro_f1=0.649, st2_macro_f1=0.600, st3_macro_f1=0.406, st3_family_macro_f1=0.578, mean_macro_f1=0.551
2026-08-04 15:59:19,206 | INFO | MainThread | epoch 61: mean train loss = 0.1622
2026-08-04 15:59:29,126 | INFO | MainThread | epoch 61 dev metrics: st1_macro_f1=0.587, st2_macro_f1=0.625, st3_macro_f1=0.411, st3_family_macro_f1=0.570, mean_macro_f1=0.541
2026-08-04 16:01:11,916 | INFO | MainThread | epoch 62: mean train loss = 0.1473
2026-08-04 16:01:21,817 | INFO | MainThread | epoch 62 dev metrics: st1_macro_f1=0.640, st2_macro_f1=0.636, st3_macro_f1=0.429, st3_family_macro_f1=0.603, mean_macro_f1=0.568
2026-08-04 16:03:04,677 | INFO | MainThread | epoch 63: mean train loss = 0.1390
2026-08-04 16:03:14,610 | INFO | MainThread | epoch 63 dev metrics: st1_macro_f1=0.622, st2_macro_f1=0.635, st3_macro_f1=0.428, st3_family_macro_f1=0.600, mean_macro_f1=0.562
2026-08-04 16:04:57,373 | INFO | MainThread | epoch 64: mean train loss = 0.1373
2026-08-04 16:05:07,156 | INFO | MainThread | epoch 64 dev metrics: st1_macro_f1=0.631, st2_macro_f1=0.621, st3_macro_f1=0.448, st3_family_macro_f1=0.609, mean_macro_f1=0.567
2026-08-04 16:06:50,046 | INFO | MainThread | epoch 65: mean train loss = 0.1316
2026-08-04 16:06:59,964 | INFO | MainThread | epoch 65 dev metrics: st1_macro_f1=0.599, st2_macro_f1=0.590, st3_macro_f1=0.419, st3_family_macro_f1=0.574, mean_macro_f1=0.536
2026-08-04 16:08:42,828 | INFO | MainThread | epoch 66: mean train loss = 0.1296
2026-08-04 16:08:52,842 | INFO | MainThread | epoch 66 dev metrics: st1_macro_f1=0.616, st2_macro_f1=0.613, st3_macro_f1=0.404, st3_family_macro_f1=0.565, mean_macro_f1=0.545
2026-08-04 16:10:35,804 | INFO | MainThread | epoch 67: mean train loss = 0.1251
2026-08-04 16:10:45,841 | INFO | MainThread | epoch 67 dev metrics: st1_macro_f1=0.607, st2_macro_f1=0.620, st3_macro_f1=0.427, st3_family_macro_f1=0.591, mean_macro_f1=0.551
2026-08-04 16:12:28,722 | INFO | MainThread | epoch 68: mean train loss = 0.1211
2026-08-04 16:12:38,526 | INFO | MainThread | epoch 68 dev metrics: st1_macro_f1=0.628, st2_macro_f1=0.601, st3_macro_f1=0.436, st3_family_macro_f1=0.591, mean_macro_f1=0.555
2026-08-04 16:14:21,397 | INFO | MainThread | epoch 69: mean train loss = 0.1117
2026-08-04 16:14:31,296 | INFO | MainThread | epoch 69 dev metrics: st1_macro_f1=0.621, st2_macro_f1=0.616, st3_macro_f1=0.428, st3_family_macro_f1=0.590, mean_macro_f1=0.555
2026-08-04 16:16:13,900 | INFO | MainThread | epoch 70: mean train loss = 0.1123
2026-08-04 16:16:23,822 | INFO | MainThread | epoch 70 dev metrics: st1_macro_f1=0.619, st2_macro_f1=0.628, st3_macro_f1=0.439, st3_family_macro_f1=0.613, mean_macro_f1=0.562
2026-08-04 16:18:06,664 | INFO | MainThread | epoch 71: mean train loss = 0.1118
2026-08-04 16:18:16,540 | INFO | MainThread | epoch 71 dev metrics: st1_macro_f1=0.609, st2_macro_f1=0.607, st3_macro_f1=0.431, st3_family_macro_f1=0.595, mean_macro_f1=0.549
2026-08-04 16:19:59,380 | INFO | MainThread | epoch 72: mean train loss = 0.1065
2026-08-04 16:20:09,331 | INFO | MainThread | epoch 72 dev metrics: st1_macro_f1=0.607, st2_macro_f1=0.630, st3_macro_f1=0.417, st3_family_macro_f1=0.583, mean_macro_f1=0.551
2026-08-04 16:21:52,227 | INFO | MainThread | epoch 73: mean train loss = 0.0982
2026-08-04 16:22:02,073 | INFO | MainThread | epoch 73 dev metrics: st1_macro_f1=0.606, st2_macro_f1=0.619, st3_macro_f1=0.410, st3_family_macro_f1=0.582, mean_macro_f1=0.545
2026-08-04 16:23:44,876 | INFO | MainThread | epoch 74: mean train loss = 0.1017
2026-08-04 16:23:54,815 | INFO | MainThread | epoch 74 dev metrics: st1_macro_f1=0.617, st2_macro_f1=0.630, st3_macro_f1=0.442, st3_family_macro_f1=0.605, mean_macro_f1=0.563
2026-08-04 16:25:37,622 | INFO | MainThread | epoch 75: mean train loss = 0.0934
2026-08-04 16:25:47,621 | INFO | MainThread | epoch 75 dev metrics: st1_macro_f1=0.607, st2_macro_f1=0.604, st3_macro_f1=0.430, st3_family_macro_f1=0.590, mean_macro_f1=0.547
2026-08-04 16:27:30,516 | INFO | MainThread | epoch 76: mean train loss = 0.0901
2026-08-04 16:27:40,432 | INFO | MainThread | epoch 76 dev metrics: st1_macro_f1=0.603, st2_macro_f1=0.611, st3_macro_f1=0.400, st3_family_macro_f1=0.567, mean_macro_f1=0.538
2026-08-04 16:29:23,406 | INFO | MainThread | epoch 77: mean train loss = 0.0839
2026-08-04 16:29:33,225 | INFO | MainThread | epoch 77 dev metrics: st1_macro_f1=0.610, st2_macro_f1=0.618, st3_macro_f1=0.440, st3_family_macro_f1=0.603, mean_macro_f1=0.556
2026-08-04 16:31:16,005 | INFO | MainThread | epoch 78: mean train loss = 0.0822
2026-08-04 16:31:25,889 | INFO | MainThread | epoch 78 dev metrics: st1_macro_f1=0.584, st2_macro_f1=0.613, st3_macro_f1=0.448, st3_family_macro_f1=0.590, mean_macro_f1=0.548
2026-08-04 16:33:08,676 | INFO | MainThread | epoch 79: mean train loss = 0.0781
